FID,EndStationID,BUS_DIST,METRO_DIST,RAIL_DIST,CAZ_DIST,RetailCoverS,RetailRatio,ResCoverS,ResidentRatio,ParkCoverS,ParkRatio,CommerCoverS,CommerRatio,MetroCommu,BusCommute,Deprivatio,AllusualRe,JobDensity,StudentRat,Deprivatio,NoCar,OfficeWork,MetroCommu,BusCommute,CarorVanCo,CycleCommu,RoadDen,POPDEN,counts,count_ratio
42,16,213.7298148,374.6068687,386.6731504,1870.097444,37989.10156,0.010781301,238862.0313,0.009204292,30114.94531,0.00259158,3018.932617,0.000684653,0.244131455,0.18398592,0.5228311,1592,0.766623207,0.102346806,0.050228311,0.792710706,0.13379397,0.244131455,0.183098592,0.042253521,0.103286385,0.024373076,0.022761949,9029,0.001066918
18,17,43.36494372,268.9154979,332.4210348,1577.52195,71823.70313,0.020383556,37327.25391,0.001438366,38888.51172,0.0033466,117000.0391,0.026534014,0.156321839,0.15422989,0.471597,1857,0.8762409,0.069490404,0.0471597,0.801916933,0.234248788,0.156321839,0.154022989,0.082758621,0.117241379,0.047893225,0.012573764,14327,0.00169296
25,18,223.2383,230.7034073,234.5581288,736.166204,553.335022,0.000157036,116344.7109,0.004483218,14417.33984,0.001240702,170.9038391,3.87587E-05,0.19178822,0.16986314,0.5658566,1793,0.849917081,0.071310116,0.056580566,0.80958231,0.203569437,0.191780822,0.169863014,0.093150685,0.093150685,0.035108807,0.010763898,20289,0.002397464
535,19,177.9479691,299.2674275,314.0075135,1780.575657,9557.790039,0.002712499,260362.4844,0.010032789,43825.51953,0.00377146,14584.25098,0.003307509,,,,,,,,,,,,,,0.006166603,,13432,0.001587202
564,20,90.34634039,169.1510446,185.1075724,2208.683138,52308.5,0.014845144,454444.5313,0.017511532,34237.77734,0.002946375,2473.33667,0.000560919,,,,,,,,,,,,,,0.017053526,,4202,0.000496532
782,21,190.9156216,1282.959823,374.4745692,3122.348969,0,0,0,0,0,0,0,0,0.9523895,0.187969925,0.121212,1776,0.880261248,0.074020319,0.102102102,0.586466165,0.224662162,0.095238095,0.187969925,0.19047619,0.187969925,0.075828036,0.016572988,6297,0.00074409
45,22,18.87407642,484.9662406,477.5256896,2515.46934,20897.09961,0.005930594,376.9489746,1.45253E-05,73574.03906,0.006331507,31276.19141,0.007093014,0.151351351,0.137837838,0.49443758,1635,0.896825397,0.051146384,0.049443758,0.717948718,0.226299694,0.151351351,0.137837838,0.121621622,0.064864865,0.030314191,0.012019194,10744,0.001269573
314,23,64.92333664,212.3117837,266.2727221,4055.542808,36199.80078,0.010273498,242532.2813,0.009345721,55050.47266,0.004737438,329.3079529,7.46826E-05,0.187279152,0.15547732,0.3674547,1412,0.855994152,0.076754386,0.036745407,0.808093995,0.200424929,0.187279152,0.155477032,0.06360424,0.084805654,0.071273605,0.00314983,5760,0.000680635
41,24,48.48314567,365.3466992,387.6553607,1450.771819,1433.469971,0.000406819,930.5151367,3.58564E-05,27291.07422,0.002348568,375695.6875,0.085202659,0.121875,0.1625,0.3864198,1310,0.659848485,0.24469697,0.030864198,0.855555556,0.244274809,0.121875,0.10625,0.075,0.040625,0.029122674,0.0040716,14172,0.001674645
331,25,15.55106632,106.0396872,128.0704621,5192.290196,20541.19922,0.005829589,283605.4688,0.010928432,22840.41016,0.00196556,59483.41797,0.013490028,0.166661,0.178787879,0.15785124,1501,0.896955504,0.042154567,0.105785124,0.770627063,0.219853431,0.160606061,0.178787879,0.106060606,0.081818182,0.011574686,0.009375507,10485,0.001238968
